Unnamed: 0,Track Name,Artist(s),Popularity,Audio Preview,Cover Image,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Genre
990,Durga Chalisa,Pamela Jain,15,https://p.scdn.co/mp3-preview/40d062896d0935b97232a52d7fa5cad96e04fc3a?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2739afe81bfb18156c0f7270381,0.617,0.676,-6.118,0.0484,0.554,0.132,76.947,hindi devotional
757,Shyam Ka Birthday Aya Hai,Parvinder Palak,0,https://p.scdn.co/mp3-preview/8b4bcda0d7d48fa4aac79423eb63cb5bf31c92f7?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273ff3eb28a3c1a9009062ae14a,0.749,0.829,-5.293,0.0573,0.019,0.151,106.007,hindi devotional
617,Mere Ghar Ram Aaye Hain,"Jubin Nautiyal, Payal Dev, Manoj Muntashir",69,https://p.scdn.co/mp3-preview/2ae3f032b77da31f4d6ddbdcc3a66b488b8b754b?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2730c877acde30dad1997723dba,0.639,0.951,-3.108,0.0371,0.485,0.126,107.964,hindi devotional
1979,Summer Night,Ahzura,64,https://p.scdn.co/mp3-preview/cbb4c7f807776da6d065dd846061a643f20ccd2e?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273c146f1b4fdfdc60e402335dc,0.165,0.00611,-36.87,0.0448,0.994,0.105,130.56,relaxation
147,Sukh Karta Dukh Harta,Suresh Wadkar,53,https://p.scdn.co/mp3-preview/83327d73cf51d25598b9f84b13a521d61111166b?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273f7bd532b64a74dcc21d9ee6b,0.62,0.528,-6.116,0.0392,0.474,0.238,180.106,bhajan
1164,Sharanu Sharanu,"M. M. Keeravani, Madhu Balakrishnan, Sunitha",44,https://p.scdn.co/mp3-preview/0e349aa60402791a814180a4e0622e8e3a465e5a?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2738966aa813c1e0a5b8bdffa86,0.519,0.546,-8.235,0.0489,0.785,0.143,102.928,hindi devotional
134,Hanuman Chalisa,Sachet Tandon,51,https://p.scdn.co/mp3-preview/405cf0bcd0c98e3bc58ec08f915a0b47c3a12336?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b27377ea62179d625b96bc0c0d0f,0.686,0.907,-2.614,0.143,0.671,0.0764,124.953,bhajan
876,Mantra Pushpam,Seven,38,https://p.scdn.co/mp3-preview/c2cebc60882270130a2516a1d12ff5c5bff1da36?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273a25f1c9a6ecb209f6d115d46,0.507,0.416,-8.978,0.0553,0.802,0.12,92.137,hindi devotional
1249,Aparadhini Yesayya,Anwesha Dutta & Deepak Pandit,36,https://p.scdn.co/mp3-preview/37af904aa320cdf6a2b07dc0ca95ad7e9d8604c4?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273e36f83083d1448683b720028,0.639,0.563,-7.677,0.0346,0.765,0.141,103.93,hindi devotional
1737,Just A Dream,Comet 1993,62,https://p.scdn.co/mp3-preview/c12f1017c324175a9914f275156e64313b258e3d?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2736d64650f47a45bc6aefb283e,0.151,0.000913,-38.495,0.0414,0.995,0.112,137.186,relaxation
